"","Title","mean","min","max","n"
"96","Analyst/Programmer 5",108477.971764706,49661.36,158475.96,51
"97","Anc Emergency Dispatch Project Coordinator",46498.37,46498.37,46498.37,1
"98","Anchorage Office Manager",88641.81,88641.81,88641.81,1
"99","Aogcc Special Assistant",82687.04,82687.04,82687.04,1
"100","Appeals Clerk",69807.08,69807.08,69807.08,1
"101","Appeals Officer 2",94650.82,91128.72,98172.92,2
"102","Appeals Officer 3",86032.88,86032.88,86032.88,1
"103","Appraiser 2",82318.04,78247.72,86388.36,2
"104","Appraiser 3",94450.715,63576.95,125324.48,2
"105","Aquatic Facility Manager",77313.78,77313.78,77313.78,1
"106","Archaeologist 1",67479.05,65662.03,69296.07,2
"107","Archaeologist 2",72559.5066666667,65780.16,76381.04,3
"108","Archaeologist 3",98463.21,98463.21,98463.21,1
"109","Architectural Assistant",76983.56,76983.56,76983.56,1
"110","Archivist 1",80229.85,80229.85,80229.85,1
"111","Archivist 2",66207.96,58620,73795.92,2
"112","Archivist 3",103333.68,103333.68,103333.68,1
"113","Armb Liaison Officer",113443.16,113443.16,113443.16,1
"114","Asmi Technical Director",97914.76,97914.76,97914.76,1
"115","Assistant Cfo/Controller-Aidea",115163.7,115163.7,115163.7,1
"116","Assistant Chief, Vocational Rehabilitation Services",158847.06,158847.06,158847.06,1
"117","Assistant Commissioner",143772.02,143772.02,143772.02,1
"118","Assistant Controller",118404.92,118404.92,118404.92,1
"119","Assistant Controller-Aea",36060.3,36060.3,36060.3,1
"120","Assistant Director, Department Of Fish & Game",132155.405,122158.4,138007.45,4
"121","Assistant Director, Employment Security",115486.64,107121,127362.6,3
"122","Assistant International Program Coordinator",1822.22,1822.22,1822.22,1
"123","Assistant Legislative Director",83196.07,83196.07,83196.07,1
"124","Assistant Manager, Airfield Maintenance",98956.82,98956.82,98956.82,1
"125","Assistant Project Manager",43371.825,27277.58,59466.07,2
"126","Assistant State Veterinarian",105264.5,105264.5,105264.5,1
"127","Associate Attorney 1",68591.2133333333,56078.5,89175.8,18
"128","Associate Attorney 2",79608.162,56195.92,100117.48,35
"129","Associate Director",115549.7,115549.7,115549.7,1
"130","Asst Dir Instruction & Housing",116917.225,103329.67,130504.78,2
"131","Asst Long Term Care Ombudsman",71657.2925,46828.22,94250.18,4
"132","Asst Second Cook 69/95",65052.6225,53483.06,73692.06,4
"133","Attorney 1",39643.4288888889,11305.88,76133.15,9
"134","Attorney 2",65107.039,11558.23,119102.4,40
"135","Attorney 3",81378.2354666667,18686.5,137045.58,75
"136","Attorney 4",103399.533018868,15650.86,180214.34,159
"137","Attorney 5",133509.392831858,10627.6,210136.85,113
"138","Attorney 6",154262.627058824,115482.72,225768.75,34
"139","Audit & Review Analyst 1",46547.46,46547.46,46547.46,1
"140","Audit & Review Analyst 2",92559.8473333333,73640.1,116952.88,15
"141","Audit & Review Analyst 3",114856.7625,111674.11,118365.03,4
"142","Audit & Review Analyst 4",166253.8,166253.8,166253.8,1
"143","Audit Master",168981.9,168981.9,168981.9,1
"144","Autopsy Technician",48744.6966666667,39551.75,60486.72,3
"145","Autopsy Technician Supervisor",104503.87,104503.87,104503.87,1
"146","Aviation Program Manager",149617.04,127447.13,171786.95,2
"147","Avtec Instructor",75623.7992307692,4431.38,129735.83,26
"148","Biometrician 1",40239.5666666667,30343.91,54000.46,3
"149","Biometrician 2",76967.854,38354.75,101928.36,10
"150","Biometrician 3",112218.363333333,88897.56,141074.88,6
"151","Biometrician 4",108850.56,108850.56,108850.56,1
"152","Boards And Regulations Advisor",149675.91,149675.91,149675.91,1
"153","Boat Officer 1",73817.4025,56789.45,97697.73,4
"154","Boat Officer 2",99489.105,88101.92,110876.29,2
"155","Boat Officer 3",112080.733333333,67864.41,166427.8,9
"156","Boat Officer 4",137976.884,103089.15,171796.49,5
"157","Boiler & Pressure Vessel Inspector 1",74439.0275,38305.34,95570.2,4
"158","Boiler & Pressure Vessel Inspector 2",100158.76,100158.76,100158.76,1
"159","Budget Analyst 1",43160.615,28608.61,57712.62,2
"160","Budget Analyst 2",85431.1025,56636.21,104089.75,8
"161","Budget Analyst 3",89007.3635714286,11211.75,123026.52,14
"162","Budget Analyst Iv",113053.186666667,101451.49,121663.79,3
"163","Budget Controller",107687.34,107687.34,107687.34,1
"164","Budget System And Reporting Analyst",146318.3,146318.3,146318.3,1
"165","Building Maintenance Manager",105081.163333333,91415.36,121989.03,3
"166","Building Maintenance Superintendent",94213.305,83245.48,108429.52,6
"167","Building Management Specialist",83656.9184615385,64208.06,117874.01,13
"168","Building Plans Examiner 1",71444.2,62118.68,86667.26,5
"169","Building Plans Examiner 2",105496.96,105496.96,105496.96,1
"170","Business Analyst 2",109465.575714286,91494.55,124576.95,7
"171","Business Analytics & Intelligence Analst 3",84850.23,75271.98,94428.48,2
"172","Business Analytics & Intelligence Analyst 1",48595.32,48595.32,48595.32,1
"173","Business Lead/Analyst 3",81754.51,81754.51,81754.51,1
"174","Business Manager",61926.115,9559.97,114292.26,2
"175","Business Registration Examiner",53153.865,50665.35,55642.38,2
"176","Business Service Project Manager 1",65942.79,65942.79,65942.79,1
"177","Business Service Project Manager 2",95152.17,81453.76,108850.58,2
"178","Business System Analyst",87432.93,87432.93,87432.93,1
"179","Cancer Registrar 1",48643.985,47067.01,50220.96,2
"180","Captain, Department Of Public Safety",234405.487777778,201652.31,310455.89,9
"181","Cashier/Gift Shop Oper 72/73",67475.11,60635.76,74314.46,2
"182","Certified Nurse Aide 1",10979.075,3953.08,18005.07,2
"183","Chair, Wkrs Comp Appeals Comm",125930.7,125930.7,125930.7,1
"184","Change Management Director",108373.14,108373.14,108373.14,1
"185","Chaplain",79692.01,79692.01,79692.01,1
"186","Chemist 1",46228.27,46228.27,46228.27,1
"187","Chemist 2",52570.7275,49756.23,56097.11,4
"188","Chemist 3",69674.9366666667,63000.28,81980.26,3
"189","Chemist 4",91618.4225,72850.7,113905.53,4
"190","Chemist 5",130096.84,113146.38,147047.3,2
"191","Chf Cook 66/63",82814.3128571429,74763.38,109816.45,7
"192","Chf Engineer 10/11",155232.7785,117660.49,183589.96,20
"193","Chf Mate 04/03",138990.993333333,115520,179266.8,15
"194","Chf Purser 25/26",103703.681,87243.11,152681.68,10
"195","Chf Steward 61/62",113261.222222222,86018.69,209583.43,9
"196","Chief Administrative Law Judge",119344.88,119344.88,119344.88,1
"197","Chief Budget Analyst",129873.9,129873.9,129873.9,1
"198","Chief Communications Officer",136385.97,136385.97,136385.97,1
"199","Chief Contracts Officer",119594.4,119594.4,119594.4,1
"200","Chief Curator",110690.26,110690.26,110690.26,1
"201","Chief Engineering Geologist",135247.29,135247.29,135247.29,1
"202","Chief Executive Officer",213297.005,200295.11,226298.9,2
"203","Chief Financial Officer",176745.518,64951.78,330410.32,5
"204","Chief Financial Officer, R&B",190432.22,190432.22,190432.22,1
"205","Chief Geologist",150298.79,150298.79,150298.79,1
"206","Chief Infrastructure Dev Ofc",171940.3,171940.3,171940.3,1
"207","Chief Investment Officer",297358.415,195363.73,399353.1,2
"208","Chief Medical Officer/Director",287333.95,287333.95,287333.95,1
"209","Chief Of Staff",151474.08,151474.08,151474.08,1
"210","Chief Of Staff For Lt Gov",160495.73,160495.73,160495.73,1
"211","Chief Operating Officer",169423.74,162110.1,176644.07,3
"212","Chief Procurement Officer",191246.3,191246.3,191246.3,1
"213","Chief Public Records Officer",108120.69,108120.69,108120.69,1
"214","Chief Risk Officer (Flsa Exempt)",145974.06,145974.06,145974.06,1
"215","Chief Technology Officer 2",134214.6,134214.6,134214.6,1
"216","Chief Technology Officer 3",161522.065,152629.63,170414.5,2
"217","Chief, Criminal Records & Identification Bureau",127418.72,127418.72,127418.72,1
"218","Chief, Disability Determination Services",86398.43,86398.43,86398.43,1
"219","Chief, Environmental Health Laboratories",151385.12,151385.12,151385.12,1
"220","Chief, Health Analytics And Vital Records",144002.04,144002.04,144002.04,1
"221","Chief, Labor Research & Analysis",144513.32,144513.32,144513.32,1
"222","Chief, Office Of History & Archaeology",148760.92,148760.92,148760.92,1
"223","Chief, Revenue Economic Research",198113.24,198113.24,198113.24,1
"224","Chief, Vocational Rehabilitation Services",116666.88,116666.88,116666.88,1
"225","Chief, Weights, Measures & Permits",100318.225,97710.14,102926.31,2
"226","Child Support Specialist 1",49194.5530188679,3023.22,87356.64,53
"227","Child Support Specialist 2",68546.4025,50054.49,106434.66,24
"228","Child Support Specialist 3",85432.8416666667,73473.79,98324.03,6
"229","Circuit Rider Technician",93185.275,68575.69,117794.86,2
"230","Civil Rights Programs & Compliance Specialist 1",56116.234,50014.14,62917.41,5
"231","Civil Rights Programs & Compliance Specialist 2",74417.98,74417.98,74417.98,1
"232","Civil Rights Programs & Compliance Specialist 3",79781.04,79781.04,79781.04,1
"233","Claims Administrator",69977.08,65122.89,74831.27,2
"234","Clinical Laboratory Evaluation Specialist",116602.2,116602.2,116602.2,1
"235","College Intern 1",11327.3038461538,688.92,22955.11,13
"236","College Intern 2",10672.756,388.08,25329.24,15
"237","College Intern 3",4947.72,819.98,9075.46,2
"238","College Intern 4",12956.03,12956.03,12956.03,1
"239","Comm Fish Permit Clerk 4",44164.595,35268.55,53060.64,2
"240","Comm Fish Permitting Ck 3",5751,5103,6399,2
"241","Commercial Analyst",128036.494285714,57024.08,163129.04,7
"242","Commercial Finance Director",165760.83,165760.83,165760.83,1
"243","Commercial Finance Loan Assistant",49066.16,49066.16,49066.16,1
"244","Commercial Manager",152961.58,152961.58,152961.58,1
"245","Commercial Vehicle Compliance Inspector 1",31236.9611111111,5663.18,46460.99,9
"246","Commercial Vehicle Compliance Inspector 2",57827.7454545455,48175.69,87143.85,11
"247","Commercial Vehicle Compliance Inspector 3",63854.3533333333,59574.97,71706.91,3
"248","Commercial Vehicle Compliance Inspector 4",69843.4575,61638.25,84597.23,4
"249","Commercial Vehicle Compliance Inspector 5",81575.56,81575.56,81575.56,1
"250","Commission Assistant",63869.92,63869.92,63869.92,1
"251","Commission Section Mgr",100352.93,100352.93,100352.93,1
"252","Commissioner",147074.978461538,131241.53,171798.35,13
"253","Commissioner, Cfec",135939.69,135939.69,135939.69,1
"254","Commissioner, Oil And Gas Comm",88086.32,33518.13,142654.51,2
"255","Commissioner, Rca",131647.86,67652.99,171841.17,5
"256","Communication Director",67586.55,36891.29,98281.81,2
"257","Communications & Community Outreach",145951.31,145951.31,145951.31,1
"258","Communications Common Carrier Specialist 2",92714.43,92714.43,92714.43,1
"259","Communications Common Carrier Specialist 3",118696.07,118696.07,118696.07,1
"260","Communications Common Carrier Specialist 4",120784.21,120784.21,120784.21,1
"261","Communications Director",132704.655,108716.92,156692.39,2
"262","Communications Engineering Associate 2",94698.685,10673.61,122112.06,6
"263","Community Care Licensing Specialist 1",56444.8166666667,2175,76323.17,15
"264","Community Care Licensing Specialist 2",91871.4225,78281.67,103152.96,4
"265","Community Care Licensing Specialist 3",98574.595,89034.18,108115.01,2
"266","Community Mental Health Svcs Program Administrator",117609.97,117609.97,117609.97,1
"267","Community Outreach Manager",86214.88,86214.88,86214.88,1
"268","Compliance Officer",74799.95,74799.95,74799.95,1
"269","Constituent Relations Assistant 2",51308.78,51308.78,51308.78,1
"270","Constituent Relations Asst",51886.07,51886.07,51886.07,1
"271","Constituent Relations Coord",36726.03,36726.03,36726.03,1
"272","Consumer Protection & Information Officer (Rca) 1",56112.9,41777.99,70447.81,2
"273","Consumer Protection & Information Officer (Rca) 2",92133.21,92133.21,92133.21,1
"274","Consumer Service Specialist (Insurance)",73622.72,65387.52,90093.12,3
"275","Contact Tracer 1",37000.03,30772.97,43227.09,2
"276","Contact Tracer 2",64056.78,62875.83,65191.81,3
"277","Contact Tracer 3",54413.275,31561.24,63791.27,4
"278","Contracting Officer",85824.5,85824.5,85824.5,1
"279","Contracting Officer 2",54640.85,54640.85,54640.85,1
"280","Contracting Officer 3",77418.405,67879.15,88094.36,8
"281","Contracting Officer 4",108628.862,98038.98,117930.62,5
"282","Corporal, Department Of Public Safety",152715.152857143,85596.3,217900.57,7
"283","Corporate Income Tax Auditor 2",71375.96,65523.27,77228.65,2
"284","Corporate Income Tax Auditor 3",102286.506666667,102090.16,102637.62,3
"285","Corporate Income Tax Auditor 4",121394.276666667,105588.24,133313.25,3
"286","Correctional Industries Production Manager 1",66476.79,66476.79,66476.79,1
"287","Correctional Officer 1",46949.8869172932,2047.68,100320.66,133
"288","Correctional Officer 2",96677.5750936968,2715.42,200855.9,587
"289","Correctional Officer 3",131685.581538462,77019.35,297633.81,52
"290","Correctional Officer 4",134137.00062069,75197.51,334916.89,145
"291","Correctional Superintendent 1",123185.158,84917.78,163114.4,15
"292","Correctional Superintendent 2",153520.123,107654.23,229615.96,10
"293","Correctional Superintendent 3",163739.086666667,124269.29,195062.6,3
"294","Correctional Supervisor",111691.842777778,44697.61,168454.7,18
"295","Corrections Nurse 1",38209.5688235294,1148.3,116535.91,17
"296","Corrections Nurse 2",100945.366372549,777.04,202330.79,102
"297","Corrections Nurse 3",142867.391538462,13265.9,227852.45,13
"298","Corrections Nurse 4",142009.41,142009.41,142009.41,1
"299","Court Services Officer",88751.7323636364,26527.54,139893.86,55
"300","Covid Health Associate",91059.7066666667,76980.7,99903.71,3
"301","Covid Technician",11910.8,727.08,29619,5
"302","Criminal Intelligence Analyst 1",54171.675,48207.29,60136.06,2
"303","Criminal Intelligence Analyst 2",62230.9175,56253.45,66528.15,4
"304","Criminal Intelligence Analyst 3",103070.555,86151.79,119989.32,2
"305","Criminal Justice Planner",84413.115,12856.8,113342.96,10
"306","Criminal Justice Specialist",56742.9957142857,19544.4,101489.86,14
"307","Criminal Justice Technician 1",40497.8004761905,1633.17,73252.4,63
"308","Criminal Justice Technician 2",55329.5848192771,6371.03,113157.29,83
"309","Cultural Resources Manager And Native Liaison",94493.64,94493.64,94493.64,1
"310","Customer Service Spec 3",69735.145,67001.06,72469.23,2
"311","Cyber And Infrastructure Security Director",143305.12,143305.12,143305.12,1
"312","Data Communications Specialist 1",58051.7514285714,11846.25,86310.37,7
"313","Data Communications Specialist 2",107674.492857143,80425.49,179413.8,7
"314","Data Processing Manager",130286.45,130286.45,130286.45,1
"315","Data Processing Manager 1",96959.5795652174,7897.6,136257.6,23
"316","Data Processing Manager 2",116199.590666667,55079.92,142802.66,15
"317","Data Processing Manager 3",130622.172666667,110691.39,155040.33,15
"318","Data Processing Production Manager",121895.915,115284.52,128507.31,2
"319","Data Processing Technician 1",38627.432,19938,43958.22,5
"320","Data Processing Technician 2",81104.68875,55840.02,109977.01,8
"321","Data Systems Specialist",42787.685,221.48,85353.89,2
"322","Database Specialist 1",66014.34,66014.34,66014.34,1
"323","Database Specialist 2",111546.23,72411.93,147270.47,4
"324","Database Specialist 3",111771.57,106477.52,117065.62,2
"325","Deck/Engine Utility, Lituya 58",77609.66,77609.66,77609.66,1
"326","Deck/Steward Utility, Lituya 83",87966.37,82964.36,92968.38,2
"327","Demographer",90171.12,90171.12,90171.12,1
"328","Dental Assistant",46499.585,41205.59,51793.58,2
"329","Dental Hygienist",104980.995,80148.25,129813.74,2
"330","Dep Dir Ak Mh Lands Trust Off",135576.4,135576.4,135576.4,1
"331","Department Communications Manager",85771.86,72733.68,107322.37,3
"332","Department Of Labor Safety Liaison",99305.19,99305.19,99305.19,1
"333","Department Technology Officer 2",112149.335,19060,150948.45,10
"334","Department Technology Officer 3",134271.3125,113563.4,165649.58,4
"335","Deputy Attorney General",165363.43,156251.47,174475.39,2
"336","Deputy Chief Administrative Law Judge",138293.8,138293.8,138293.8,1
"337","Deputy Chief Information Officer",190743.09,190743.09,190743.09,1
"338","Deputy Chief Of Staff",139589.21,139589.21,139589.21,1
"339","Deputy Commissioner",156085.827647059,110864.4,224949.24,17
"340","Deputy Communications Director",143439.09,143439.09,143439.09,1
"341","Deputy Director",118286.976666667,97040.95,146702.51,9
"342","Deputy Director Of Boards And Commissions",69107.63,69107.63,69107.63,1
"343","Deputy Director, Insurance",128087.36,128087.36,128087.36,1
"344","Deputy Fire Marshal 2",119065.306,104957.66,127320.3,5
"345","Deputy Fire Marshal 3",97092.36,97092.36,97092.36,1
"346","Deputy Legislative Director",87701.9,87701.9,87701.9,1
"347","Deputy Long Term Care Ombudsma",80746.04,80746.04,80746.04,1
"348","Deputy Press Secretary",83896.7,83896.7,83896.7,1
"349","Developement Operations Engineer",90484.55,90484.55,90484.55,1
"350","Development Advisor",138936.9,138936.9,138936.9,1
"351","Development Specialist 1 (Option B)",79109.97,79109.97,79109.97,1
"352","Development Specialist 1(Option A)",51174.18,51174.18,51174.18,1
"353","Development Specialist 2 (Option A)",86296,70484.31,102107.69,2
"354","Development Specialist 2 (Option B)",8465.36,8465.36,8465.36,1
"355","Dietitian 1",74960.78,74960.78,74960.78,1
"356","Dietitian 2",67768.1733333333,9542.38,98974.53,3
"357","Digital Marketing Coordinator/Manager",79655.55,79655.55,79655.55,1
"358","Digital Media Specialist",73541.67,73541.67,73541.67,1
"359","Director",137611.126666667,90093.3,195509.84,6
"360","Director Of Appeals & Policy Implementation",104514.35,104514.35,104514.35,1
"361","Director Of Broadband",36725.4,36725.4,36725.4,1
"362","Director Of Communications-Pfc",263100.9,263100.9,263100.9,1
"363","Director Of Correspondence And Constituent Relations",110743.7,110743.7,110743.7,1
"364","Director Of Omb",189242.53,189242.53,189242.53,1
"365","Director Of Programs And Contacts",105318.08,105318.08,105318.08,1
"366","Director Of Scheduling",127425.85,127425.85,127425.85,1
"367","Director, Aeee Program",116642.57,116642.57,116642.57,1
"368","Director, Owned Assets",161863.52,161863.52,161863.52,1
"369","Director, Tax Division",182477.7,182477.7,182477.7,1
"370","Director/Iss",108513.3,108513.3,108513.3,1
"371","Disability Adjudicator 1",78592.12,64131.76,96301.31,5
"372","Disability Adjudicator 2",101956.056666667,89402.26,113281.4,3
"373","Disability Adjudicator Associate 1",57857.72,51280.16,64435.28,2
"374","Disability Adjudicator Associate 2",55450.675,14789.26,86452.92,4
"375","Disability Hearing Officer",83173,83173,83173,1
"376","Disease Intervention Specialist 1",65267.3075,42510.87,83588.98,4
"377","Disease Intervention Specialist 2",50650.52,21870.02,79431.02,2
"378","Division Director",127824.894375,75136,167476.24,16
"379","Division Director - Px",138492.065409836,9703.6,248632.85,61
"380","Division Operations Manager",129273.247727273,82275.99,170630.59,44
"381","Division Operations Manager, Elections",133284.63,133284.63,133284.63,1
"382","Dmv Program Manager",95841.58,95841.58,95841.58,1
"383","Domestic Marketing Assistant",18980.23,18980.23,18980.23,1
"384","Domestic Marketing Coordinator",73368.66,73368.66,73368.66,1
"385","Domestic Marketing Director",122306.36,122306.36,122306.36,1
"386","Domestic Marketing Manager",59112.35,59112.35,59112.35,1
"387","Dormitory Attendant",22849.7857142857,1135.37,49133.9,7
"388","Drafting Technician 3",56733.8466666667,22671.78,70038.42,9
"389","Driller, Journey",102961.7625,85356.17,139504.05,4
"390","Driller, Sub-Journey",69198.615,46414.61,91982.62,2
"391","Drug Intelligence Officer",72507.68,72507.68,72507.68,1
"392","Economist 2",72866.1866666667,62876.03,87202.9,3
"393","Economist 3",87494.9042857143,35538.54,122592,7
"394","Economist 4",116850.7,92649.97,141051.43,2
"395","Education Administrator 1",89329.1375,43252.26,115485.02,4
"396","Education Administrator 2",127159.13,98018.95,142690.01,3
"397","Education Associate 2",63456.4677777778,54018.78,82166.38,9
"398","Education Associate 3",76802.2269230769,24533.63,98226.99,13
"399","Education Coordinator (Corrections)",59124.3806666667,16716,88773.81,15
"400","Education Program Assistant",46897.097,1110.9,77126.96,10
"401","Education Specialist 1",83185.925,73489,92882.85,2
"402","Education Specialist 2",75940.6195,3068.3,119290.78,20
"403","Eh Biological Analysis Manager",113677.68,113677.68,113677.68,1
"404","Elec Admin Asst 1",59901.92,59901.92,59901.92,1
"405","Election Clerk 2",21246.786,3089.45,52594.11,5
"406","Election Clerk 3",33382.7233333333,22902.64,49811.19,3
"407","Election Language Program Coordinator",13232.35,13232.35,13232.35,1
"408","Election Official",3922.0598757764,78,142245.84,161
"409","Election Supervisor",99432.1825,80533.52,118377.41,4
"410","Election Translator",17957.9545454545,2000,55550,11
"411","Elections Administrative Assistant",63833.95,63833.95,63833.95,1
"412","Elections Analyst",86291.14,86291.14,86291.14,1
"413","Elections Database/Systems Administrator",51585.3,51585.3,51585.3,1
"414","Elections Lang Manager",77401,77401,77401,1
"415","Elections Program Manager",92509.45,92509.45,92509.45,1
"416","Elections Securtiy Officer",98075.8,98075.8,98075.8,1
"417","Elections Systems Manager",10768.11,10768.11,10768.11,1
"418","Electrical Engineer",148713.9,148713.9,148713.9,1
"419","Eligibility Office Manager 1",64389.76,64389.76,64389.76,1
"420","Eligibility Office Manager 2",80585.5,67590.72,92114.02,8
"421","Eligibility Quality Control Technician 1",64216.5072727273,47971.46,81656.92,11
"422","Eligibility Quality Control Technician 2",97936.615,91854.96,104018.27,2
"423","Eligibility Technician 1",34909.30575,2862.58,77161.79,40
"424","Eligibility Technician 2",56454.0602112676,3359.43,142364.42,142
"425","Eligibility Technician 3",76997.0252173913,51034.47,141547.26,46
"426","Eligibility Technician 4",70818.484,56472.17,99945.5,25
"427","Emergency Dispatch Supervisor",113590.326666667,69850.19,178702.57,3
"428","Emergency Management Specialist 1",26054.67,26054.67,26054.67,1
"429","Emergency Management Specialist 2",53594.9576923077,6700.87,101727.67,26
